"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AY1","AY2","GA1","GF1","IA1","KA1","MA1","MD1","ME1","MW1","OA1","REM","EQD"
"31713099999","2000-01-01T00:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","050000,1,N,1","-0299,1","-0323,1","10360,1","06,0000,9,1",,,,"00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1","23,9","120,N,-0315,1","99999,9,10245,1","2,1,016,1,+999,9",,,,"SYN076AAXX  01001 31713 32999 00000 11299 21323 30245 40360 52016 333 21315 47017;","Q01  00002PRCP06"
"31713099999","2000-01-01T03:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","050000,1,N,1","-0272,1","-0275,1","10361,1",,,,,"00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,"2,1,004,1,+999,9",,,,"SYN054AAXX  01031 31713 42999 00000 11272 21275 40361 52004;",
"31713099999","2000-01-01T06:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","050000,1,N,1","-0172,1","-0241,1","10340,1",,,,,"00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,"8,1,019,1,+999,9",,,,"SYN054AAXX  01061 31713 42999 00000 11172 21241 40340 58019;",
"31713099999","2000-01-01T09:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0235,1","-0275,1","10346,1","06,0000,9,1",,,,"00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1",,"999,M,-0170,1",,"3,1,004,1,+999,9",,,,"SYN064AAXX  01091 31713 329// 00000 11235 21275 40346 53004 333 11170;","Q01  00002PRCP06"
"31713099999","2000-01-01T12:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0279,1","-0303,1","10345,1","06,0000,9,1",,,,"00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1",,"999,M,-0170,1","99999,9,10231,1","8,1,003,1,+999,9",,,,"SYN070AAXX  01121 31713 329// 00000 11279 21303 30231 40345 58003 333 11170;","Q01  00002PRCP06"
"31713099999","2000-01-01T15:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","020,1,N,0020,1","22000,1,9,N","999999,9,N,1","-0283,1","-0306,1","10345,1",,,,,"00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,"4,1,000,1,+999,9",,,,"SYN054AAXX  01151 31713 429// 00202 11283 21306 40345 54000;",
"31713099999","2000-01-01T18:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0295,1","-0319,1","10338,1",,,,,"00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,"2,1,008,1,+999,9",,,,"SYN054AAXX  01181 31713 429// 00000 11295 21319 40338 52008;",
"31713099999","2000-01-01T21:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0300,1","-0323,1","10330,1","06,0000,9,1",,,,"00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,"7,1,008,1,+999,9",,,,"SYN054AAXX  01211 31713 329// 00000 11300 21323 40330 57008;","Q01  00002PRCP06"
"31713099999","2000-01-02T00:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","050000,1,N,1","-0275,1","-0299,1","10315,1","06,0000,9,1",,,,,"07,99,1,00,1,00,1,99999,9,00,1,04,1","23,9","120,N,-0304,1","99999,9,10201,1","7,1,014,1,+999,9",,,,"SYN082AAXX  02001 31713 32999 70000 11275 21299 30201 40315 57014 80004 333 21304 47017;","Q01  00002PRCP06"
"31713099999","2000-01-02T03:00:00","4","48.7333333","132.95","80.0","BIROBIDZHAN, RS","FM-12","99999","V020","360,1,N,0020,1","99999,9,9,N","050000,1,N,1","-0220,1","-0252,1","10282,1",,,,,,"08,99,1,08,1,00,1,99999,9,07,1,99,9",,,,"8,1,030,1,+999,9",,,,"SYN060AAXX  02031 31713 42999 83602 11220 21252 40282 58030 8807/;",
